rec_id,obc_timestamp,lap_obc_timestamp,dist,lap_dist,gps_utctime,gps_latitude,gps_longitude,gps_speed,lfm_temperature,lfm_integratedcorrflow,lfm_instantflow,lap_lfm_integratedcorrflow,gfs_gasflow,gfs_gastemp,gfs_netgasvolume,lap_gfs_netgasvolume,jm3_netjoule,lap_jm3_netjoule,jm3_voltage,jm3_current,message_id,volt_voltage,volt_difference,lap_lap,start_lap,finish_lap
0,1739101104.21,0.0,0.0,0.0,11.38.23,25.488435783,51.450190017,2.8,,,,,,,,,-0.338,0.0,50607.0,-21.0,705_202502_09_1134_42_0002211,,,0,0,0
1,1739101104.31,0.09999990463256836,0.0,0.0,11.38.23,25.488435783,51.450190017,2.8,,,,,,,,,-0.338,0.0,50606.0,-18.0,705_202502_09_1134_42_0002212,,,0,0,0
2,1739101104.41,0.20000004768371582,0.0,0.0,11.38.23,25.488435783,51.450190017,2.8,,,,,,,,,-0.338,0.0,50606.0,-18.0,705_202502_09_1134_42_0002213,,,0,0,0
3,1739101104.51,0.2999999523162842,0.0,0.0,11.38.23,25.488435783,51.450190017,2.8,,,,,,,,,-0.338,0.0,50606.0,-18.0,705_202502_09_1134_42_0002214,,,0,0,0
4,1739101104.61,0.39999985694885254,0.0,0.0,11.38.23,25.488435783,51.450190017,2.8,,,,,,,,,-0.338,0.0,50606.0,-18.0,705_202502_09_1134_42_0002215,,,0,0,0
5,1739101104.71,0.5,0.0,0.0,11.38.23,25.488435783,51.450190017,2.8,,,,,,,,,0.0,0.338,50607.0,-18.0,705_202502_09_1134_42_0002216,,,0,0,0
6,1739101104.81,0.5999999046325684,0.7809661109667284,0.7809661109667284,11.38.24,25.48843435,51.4501824,2.8,,,,,,,,,0.0,0.338,50607.0,-18.0,705_202502_09_1134_42_0002217,,,0,0,0
7,1739101104.91,0.7000000476837158,0.7809661109667284,0.7809661109667284,11.38.24,25.48843435,51.4501824,2.8,,,,,,,,,0.0,0.338,50607.0,-21.0,705_202502_09_1134_42_0002218,,,0,0,0
8,1739101105.01,0.7999999523162842,0.7809661109667284,0.7809661109667284,11.38.24,25.48843435,51.4501824,2.8,,,,,,,,,0.0,0.338,50607.0,-21.0,705_202502_09_1134_42_0002219,,,0,0,0
9,1739101105.11,0.8999998569488525,0.7809661109667284,0.7809661109667284,11.38.24,25.48843435,51.4501824,2.8,,,,,,,,,0.0,0.338,50607.0,-18.0,705_202502_09_1134_42_0002220,,,0,0,0
10,1739101105.21,1.0,0.7809661109667284,0.7809661109667284,11.38.24,25.48843435,51.4501824,2.8,,,,,,,,,0.0,0.338,50607.0,-18.0,705_202502_09_1138_25_0000001,,,0,0,0
11,1739101105.31,1.0999999046325684,0.7809661109667284,0.7809661109667284,11.38.24,25.48843435,51.4501824,2.8,,,,,,,,,0.0,0.338,50608.0,-19.0,705_202502_09_1138_25_0000002,,,0,0,0
12,1739101105.41,1.2000000476837158,0.7809661109667284,0.7809661109667284,11.38.24,25.48843435,51.4501824,2.8,,,,,,,,,0.0,0.338,50608.0,-19.0,705_202502_09_1138_25_0000003,,,0,0,0
13,1739101105.51,1.2999999523162842,0.7809661109667284,0.7809661109667284,11.38.24,25.48843435,51.4501824,2.8,,,,,,,,,0.0,0.338,50607.0,-20.0,705_202502_09_1138_25_0000004,,,0,0,0
